Substance,Methanol Ammonia Ratio
25B-NBOMe,0.918844276
25C-NBOMe,0.951826292
25D-NBOMe,0.906882107
25G-NBOMe,0.8614486
25I-NBOMe,0.972654689
25IP-NBOMe,0.938147108
25N-NBOMe,0.93462104
2-AI,0.636708221
2C-B,0.451518905
2C-B-fly,0.459283506
2C-C,0.546181026
2C-D,0.483244708
2C-E,0.496242155
2C-I,0.48653328
2C-IP,0.490962701
2C-P,0.49846961
2C-T-2,0.426973048
2C-T-4,0.654545455
2-FA (2-Fluoro-Amphetamine),0.71
2-FMA (2-Fluoro-Methamphetamine),0.72
2-ME-DMT,0.650231292
3.4-CTMP,0.9
3-FMC (3-Fluoromethcathinone),1.224489796
3C-E,0.58164071
3C-P,0.585605313
3-MeO-PCP,0.91588785
4-AcO-DALT,1.021933993
4-AcO-DIPT,0.879803493
4-HO-DIPT,0.704079685
4-AcO-DMT,0.59190052
4-AcO-MET,0.618887997
4-BMC,0.996021329
4-EMC,0.925811966
4-FA (4-Fluoro-Amphetamine),0.67
4-FMA (4-Fluoro-Methamphetamine),0.63
4-FMB,1.319733676
4-FMP,0.648148148
4-HO-DET,0.666321911
4-HO-MET,0.6
4-HO-MIPT,0.634644124
4-MEC,1.018147433
4-MeO-PCP,0.796083827
5-APB,0.804347826
5-IAI,0.557318039
5-MAPB,0.448541774
5-MeO-AMT,0.696352979
5-MeO-DALT,1.153811473
5-MeO-DMT,0.483636676
5-MeO-MALT,1
5-MeO-MIPT,0.605484806
6-APB,0.656049383
6-EAPB,0.592362983
Allylescaline,0.317278648
Alpha-PVP,1.012826087
Alpha-PPP,1.03173913
AM-2201,1.062426304
AM-2233,0.998564397
AM-7921,0.960931039
AMT,0.59
Amphetamine (aderall),0.69
Amphetamine,0.69
Alprazolam ,0.909090909
bromodragonfly,0.787755102
Buphedrone,1
Buprenorphine,1.111866925
Butylone,1
Caffeine,1
Cocaine,0.382506748
Codeine,0.891304348
Deschloroketamine,1.018897444
Dimethyl-Cathinone,0.944444444
Dimethocaine,1
Diphenidine,1.07740903
DMT,0.56202112
DOB,0.616205593
DOC,0.628341977
DOI,0.646706683
DPT,0.966245434
DXM,0.59
Ephedrin,0.509803922
Escaline,0.413599476
Escopolamine,0.932847313
Ethyl-Buphedrone,1.785714286
Ethylcathinone,1.004761905
Ethylone,1.232151835
Ethylphenidate,1.179545455
Etizolam,1.1402549
Flubromazepam,sty.15
Fumaric Acid,1.481355676
Gramine,0.405774583
Harmaline,0.758695652
Harmine,1.108438611
Hydrocodone,0.454545455
IAP,0.53125
Ibuprofen,1.244438455
JWH-073,1.13269073
JWH-250,1.11824263
Ketamine,0.99
Levamisol,1
Lidocaine,1.03034188
LSD (Blotter),1.009208714
LSD (Drop),1.009208714
LSD (Microdot),1.009208714
MAM-2201,1.154545455
MCPP,0.597880372
MDA,0.663061224
MDAI,0.578312416
MDMA,0.527483045
MDPV,01.sie
Mephedrone,1.214678179
Mescaline (Freebase),0.380715416
Mescaline (Fumarate),0.380715416
Methamphetamine,0.614
Methedrone,0.99
Methylone,0.99
Methylphenidate,1.033887229
Metoclopramide,0.790069686
MPPP,0.978163993
MXE,1.071745297
MXP,0.907619048
N-Ethyl-Ketamine,1.079439252
NMT,0.268471856
Oxycodone,0.933216783
paracetamol,1.157631258
Penthedrone,1.240384615
Phenacetin,1.240826873
Phenetylamine,0.660347985
PMA,0.479166667
PMMA,0.645833333
Procaine,0.906708595
Proscaline,0.454761103
PV8,1.163286713
Tetracaine,0.949074074
Tetrahydroharmine,0.65490566
